Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
WN2 4UF,Yes,53.534137,-2.564016,362714,404313,SD627043,Hindley,"Wigan, unparished area",2015-01-01,,56,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006275,Wigan 016C,E01006275,Wigan 016C
WN2 4UG,Yes,53.531424,-2.547822,363785,404003,SD637040,Hindley Green,"Wigan, unparished area",2019-01-01,,56,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006285,Wigan 019E,E01006285,Wigan 019E
WN2 4UH,Yes,53.513736,-2.551454,363529,402037,SD635020,Hindley Green,"Wigan, unparished area",2019-08-01,,41,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4UJ,Yes,53.514415,-2.550377,363601,402112,SD636021,Hindley Green,"Wigan, unparished area",2019-04-01,,41,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4UL,Yes,53.513649,-2.550894,363566,402027,SD635020,Hindley Green,"Wigan, unparished area",2019-01-01,,40,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4UN,Yes,53.514044,-2.554745,363311,402073,SD633020,Hindley Green,"Wigan, unparished area",2019-05-01,,41,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4UP,Yes,53.514300,-2.551898,363500,402100,SD635020,Hindley Green,"Wigan, unparished area",2019-02-01,,40,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4UQ,Yes,53.514049,-2.551759,363509,402072,SD635020,Hindley Green,"Wigan, unparished area",2018-12-01,,40,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4UR,Yes,53.536974,-2.571838,362198,404633,SD621046,Hindley,"Wigan, unparished area",2018-12-01,,56,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006271,Wigan 013B,E01006271,Wigan 013B
WN2 4US,Yes,53.531258,-2.556479,363211,403989,SD632039,Hindley Green,"Wigan, unparished area",2019-07-01,,52,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006285,Wigan 019E,E01006285,Wigan 019E
WN2 4WJ,No,53.546967,-2.635089,358016,405780,SD580057,Wigan Central,"Wigan, unparished area",2005-04-01,2006-05-01,39,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006369,Wigan 008C,E01006369,Wigan 008C
WN2 4WL,No,53.546967,-2.635089,358016,405780,SD580057,Wigan Central,"Wigan, unparished area",2005-03-01,2006-04-01,39,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006369,Wigan 008C,E01006369,Wigan 008C
